action,total_yield,cash,trades,parameters,global
AIRG,"1,0046372289999999",1004.6372289999998,"{'2024-05-09': {'gain': 1.00463723, 'date': datetime.date(2024, 5, 7), 'type': 'bad earning'}}","[{'TP': 0.07, 'note': 0.2, 'before_earning': 3, 'further_day': 3}, {'TP': 0.08, 'note': 0.2, 'before_earning': 3, 'further_day': 3}, {'TP': 0.09, 'note': 0.2, 'before_earning': 3, 'further_day': 3}, {'TP': 0.1, 'note': 0.2, 'before_earning': 3, 'further_day': 3}, {'TP': 0.07, 'note': 0.2, 'before_earning': 5, 'further_day': 3}, {'TP': 0.08, 'note': 0.2, 'before_earning': 5, 'further_day': 3}, {'TP': 0.09, 'note': 0.2, 'before_earning': 5, 'further_day': 3}, {'TP': 0.1, 'note': 0.2, 'before_earning': 5, 'further_day': 3}, {'TP': 0.07, 'note': 0.2, 'before_earning': 3, 'further_day': 5}, {'TP': 0.08, 'note': 0.2, 'before_earning': 3, 'further_day': 5}, {'TP': 0.09, 'note': 0.2, 'before_earning': 3, 'further_day': 5}, {'TP': 0.1, 'note': 0.2, 'before_earning': 3, 'further_day': 5}, {'TP': 0.07, 'note': 0.2, 'before_earning': 5, 'further_day': 5}, {'TP': 0.08, 'note': 0.2, 'before_earning': 5, 'further_day': 5}, {'TP': 0.09, 'note': 0.2, 'before_earning': 5, 'further_day': 5}, {'TP': 0.1, 'note': 0.2, 'before_earning': 5, 'further_day': 5}]","{'trade': 1, 'duree': 2, 'plus': 1, 'yield': 1.00463723}"
AIRG,,,,,
AIRS,,,,,
AIRS,,,,,
AIRS,,,,,
AIRS,,,,,
AIRS,,,,,
AIRS,,,,,
AKAM,,,,,
AKAM,,,,,
AKAM,"1,1248051399999999",1124.80514,"{'2023-08-09': {'gain': 1.12480514, 'date': datetime.date(2023, 8, 3), 'type': 'TP'}}","[{'TP': 0.1, 'note': 0.2, 'before_earning': 5, 'further_day': 3}, {'TP': 0.1, 'note': 0.2, 'before_earning': 5, 'further_day': 5}, {'TP': 0.09, 'note': 0.2, 'before_earning': 5, 'further_day': 3}, {'TP': 0.09, 'note': 0.2, 'before_earning': 5, 'further_day': 5}, {'TP': 0.04, 'note': 0.2, 'before_earning': 5, 'further_day': 3}, {'TP': 0.05, 'note': 0.2, 'before_earning': 5, 'further_day': 3}, {'TP': 0.06, 'note': 0.2, 'before_earning': 5, 'further_day': 3}, {'TP': 0.07, 'note': 0.2, 'before_earning': 5, 'further_day': 3}, {'TP': 0.08, 'note': 0.2, 'before_earning': 5, 'further_day': 3}, {'TP': 0.04, 'note': 0.2, 'before_earning': 5, 'further_day': 5}, {'TP': 0.05, 'note': 0.2, 'before_earning': 5, 'further_day': 5}, {'TP': 0.06, 'note': 0.2, 'before_earning': 5, 'further_day': 5}, {'TP': 0.07, 'note': 0.2, 'before_earning': 5, 'further_day': 5}, {'TP': 0.08, 'note': 0.2, 'before_earning': 5, 'further_day': 5}]","{'trade': 1, 'duree': 6, 'plus': 1, 'yield': 1.12480514}"
AKAM,,,,,
AKAM,"0,9793080693999999",979.3080693999999,"{'2024-02-13': {'gain': 0.97930807, 'date': datetime.date(2024, 2, 12), 'type': 'SL'}}","{'before_earning': 5, 'note': 0.22, 'TP': 0.05, 'further_day': 5}","{'trade': 1, 'duree': 1, 'plus': 0, 'yield': 0.97930807}"
AKAM,,,,,
AKBA,,,,,
AKBA,,,,,
AKBA,,,,,
AKBA,,,,,
AKBA,,,,,
